period,purp0_perc,purp1_perc,purp2_perc,purp3_perc,purp4_perc,purp5_perc
0,0,0,0,0,0,0
1,0.098,0.08,0.046,0.04,0.073,0.044
2,0.082,0.049,0.03,0.026,0.033,0.044
3,0.056,0.048,0.032,0.026,0.029,0.044
4,0.086,0.068,0.045,0.035,0.047,0.034
5,0.058,0.056,0.031,0.029,0.021,0.034
6,0.06,0.059,0.039,0.034,0.043,0.023
7,0.042,0.045,0.022,0.028,0.019,0.022
8,0.044,0.052,0.029,0.04,0.031,0.026
9,0.032,0.034,0.033,0.046,0.039,0.025
10,0.032,0.036,0.035,0.046,0.056,0.031
11,0.029,0.03,0.027,0.042,0.029,0.03
12,0.028,0.032,0.05,0.06,0.058,0.034
13,0.022,0.03,0.03,0.036,0.031,0.033
14,0.032,0.029,0.04,0.04,0.041,0.034
15,0.015,0.02,0.023,0.033,0.016,0.034
16,0.029,0.026,0.03,0.041,0.039,0.025
17,0.011,0.023,0.021,0.025,0.012,0.024
18,0.014,0.029,0.035,0.04,0.043,0.022
19,0.018,0.021,0.024,0.028,0.012,0.022
20,0.029,0.021,0.051,0.034,0.062,0.018
21,0.023,0.016,0.042,0.029,0.041,0.017
22,0.028,0.023,0.044,0.04,0.019,0.023
23,0.017,0.023,0.031,0.023,0.016,0.023
24,0.019,0.018,0.041,0.03,0.023,0.026
25,0.011,0.017,0.024,0.021,0.019,0.025
26,0.015,0.022,0.023,0.023,0.025,0.018
27,0.008,0.011,0.016,0.018,0.014,0.018
28,0.009,0.012,0.022,0.017,0.033,0.025
29,0.011,0.016,0.012,0.017,0.012,0.024
30,0.009,0.018,0.018,0.014,0.019,0.026
31,0.015,0.015,0.013,0.014,0.021,0.026
32,0.012,0.014,0.02,0.012,0.002,0.024
33,0.003,0.003,0.011,0.007,0.008,0.023
34,0.003,0.003,0.005,0.002,0.002,0.019
35,0,0,0.001,0.001,0,0.018
36,0,0,0.001,0.002,0,0.017
37,0,0,0.001,0.001,0,0.016
38,0,0,0,0,0,0.013
39,0,0,0.001,0,0,0.013
40,0,0.001,0.001,0,0.012,0.003
